2025-03-08 20:11:10,956 INFO    Thread-238 (_run_job):3130 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-08 20:11:10,957 INFO    Thread-238 (_run_job):3130 [wandb_setup.py:_flush():67] Configure stats pid to 3130
2025-03-08 20:11:10,957 INFO    Thread-238 (_run_job):3130 [wandb_setup.py:_flush():67] Loading settings from /Users/karanagrawal/.config/wandb/settings
2025-03-08 20:11:10,957 INFO    Thread-238 (_run_job):3130 [wandb_setup.py:_flush():67] Loading settings from /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/settings
2025-03-08 20:11:10,957 INFO    Thread-238 (_run_job):3130 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-08 20:11:10,957 INFO    Thread-238 (_run_job):3130 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/run-20250308_201110-i6m99fx0/logs/debug.log
2025-03-08 20:11:10,957 INFO    Thread-238 (_run_job):3130 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/run-20250308_201110-i6m99fx0/logs/debug-internal.log
2025-03-08 20:11:10,957 INFO    Thread-238 (_run_job):3130 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x1544fee10>
2025-03-08 20:11:10,957 INFO    Thread-238 (_run_job):3130 [wandb_init.py:init():761] calling init triggers
2025-03-08 20:11:10,958 INFO    Thread-238 (_run_job):3130 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 64, 'beta': 0.5, 'beta1': 0.999, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 10, 'epsilon': 1e-06, 'hidden_layer_sizes': 128, 'hidden_layers': 5, 'initialization': 'random', 'learning_rate': 0.001, 'loss_function': 'cross_entropy', 'momentum': 0.5, 'optimizer': 'rmsprop', 'weight_decay': 0, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2025-03-08 20:11:10,958 INFO    Thread-238 (_run_job):3130 [wandb_init.py:init():784] starting backend
2025-03-08 20:11:10,958 INFO    Thread-238 (_run_job):3130 [wandb_init.py:init():788] sending inform_init request
2025-03-08 20:11:10,960 INFO    Thread-238 (_run_job):3130 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-08 20:11:10,960 INFO    Thread-238 (_run_job):3130 [wandb_init.py:init():803] backend started and connected
2025-03-08 20:11:10,976 INFO    Thread-238 (_run_job):3130 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'sigmoid', 'batch_size': 64, 'beta': 0.5, 'beta1': 0.999, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 10, 'epsilon': 1e-06, 'hidden_layer_sizes': 128, 'hidden_layers': 5, 'initialization': 'random', 'learning_rate': 0.001, 'loss_function': 'cross_entropy', 'momentum': 0.5, 'optimizer': 'rmsprop', 'weight_decay': 0, 'weight_init': 'xavier'}
2025-03-08 20:11:10,988 INFO    Thread-238 (_run_job):3130 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-08 20:11:10,988 INFO    Thread-238 (_run_job):3130 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-03-08 20:11:10,988 INFO    Thread-238 (_run_job):3130 [wandb_init.py:init():896] updated telemetry
